ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR015LYB/	ENCSR015LYB	ChIP-seq	TF ChIP-seq	cell line	/targets/HIC2-human/	HIC2	HIC2	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens HIC2	HepG2	GEO:GSE208463	ChIP-Seq on HepG2	Richard Myers, HAIB	ENCODE	released	/files/ENCFF572PRF/,/files/ENCFF655YIK/,/files/ENCFF130SBX/,/files/ENCFF352DFP/,/files/ENCFF480MKY/,/files/ENCFF502TTN/,/files/ENCFF117MXG/,/files/ENCFF479SPH/,/files/ENCFF653ZSX/,/files/ENCFF726MTD/,/files/ENCFF741MBT/,/files/ENCFF287TJC/,/files/ENCFF553OYE/,/files/ENCFF953HVY/,/files/ENCFF678WPD/,/files/ENCFF037AXF/,/files/ENCFF168MYA/,/files/ENCFF379UGN/,/files/ENCFF642BLI/,/files/ENCFF614JHL/,/files/ENCFF418HCE/,/files/ENCFF257GFT/,/files/ENCFF031GPU/,/files/ENCFF927POV/		ENCBS007NRR,ENCBS766YMB	1,2	1	ENCAB697XQW	Homo sapiens	child	15 years										/organisms/human/		/replicates/c27737b7-fd6e-4dba-844b-3e81d218bcba/,/replicates/77411452-346f-4e5f-8bfd-3fee0d2fe694/				
/experiments/ENCSR656SIB/	ENCSR656SIB	ChIP-seq	TF ChIP-seq	cell line	/targets/ZBED5-human/	ZBED5	ZBED5	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZBED5	HepG2	FactorBook:ENCSR656SIB,GEO:GSE127413	Chip-Seq on HepG2	Richard Myers, HAIB	ENCODE	released	/files/ENCFF432YLJ/,/files/ENCFF945YZW/,/files/ENCFF041KXA/,/files/ENCFF865FVY/,/files/ENCFF578MOQ/,/files/ENCFF813CAK/,/files/ENCFF169SMZ/,/files/ENCFF552EIB/,/files/ENCFF217LET/,/files/ENCFF424JGX/,/files/ENCFF619WDG/,/files/ENCFF382RNC/,/files/ENCFF253DSF/,/files/ENCFF229ODG/,/files/ENCFF093SII/,/files/ENCFF072ABQ/,/files/ENCFF168OTQ/,/files/ENCFF322AOQ/,/files/ENCFF165UPR/,/files/ENCFF089VWT/,/files/ENCFF902PRZ/,/files/ENCFF160DNR/,/files/ENCFF082QJY/,/files/ENCFF735INX/,/files/ENCFF830GTO/,/files/ENCFF696BJE/,/files/ENCFF796WUY/,/files/ENCFF790ICQ/,/files/ENCFF567RBF/,/files/ENCFF007UXD/,/files/ENCFF076GZD/,/files/ENCFF600IRF/,/files/ENCFF991BKN/,/files/ENCFF807JZW/,/files/ENCFF399DQM/,/files/ENCFF404TIG/,/files/ENCFF528NQZ/,/files/ENCFF125TTZ/,/files/ENCFF432NHJ/,/files/ENCFF117OQV/,/files/ENCFF288YST/,/files/ENCFF348CDE/,/files/ENCFF733WWA/,/files/ENCFF991QZL/,/files/ENCFF630JEV/,/files/ENCFF195YPT/,/files/ENCFF773KGI/,/files/ENCFF976YVJ/		ENCBS578CCZ,ENCBS740EJN	1,2	1	ENCAB697XQW	Homo sapiens	child	15 years										/organisms/human/		/replicates/85abad11-0862-40c8-a3c3-e0e51c95d1e0/,/replicates/6c1e4cb3-e42d-4993-b853-df1a7efb6df3/				
/experiments/ENCSR617POJ/	ENCSR617POJ	ChIP-seq	TF ChIP-seq	cell line	/targets/ZFP1-human/	ZFP1	ZFP1	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZFP1	K562	GEO:GSE170889	eGFP-ZFP1 ChIP-seq on human K562	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF698VLP/,/files/ENCFF752DFQ/,/files/ENCFF117LRS/,/files/ENCFF825VPU/,/files/ENCFF563MJG/,/files/ENCFF844GQM/,/files/ENCFF127ODS/,/files/ENCFF325ACI/,/files/ENCFF655DEQ/,/files/ENCFF545DWS/,/files/ENCFF463LXE/,/files/ENCFF318TMV/,/files/ENCFF777OLK/,/files/ENCFF394DOJ/,/files/ENCFF989WUP/,/files/ENCFF929SZU/,/files/ENCFF305ZZS/,/files/ENCFF771LGM/,/files/ENCFF885TWD/,/files/ENCFF873EVF/,/files/ENCFF795AWO/,/files/ENCFF675OCJ/,/files/ENCFF292WJS/,/files/ENCFF302TQZ/,/files/ENCFF152RRD/,/files/ENCFF714YNU/,/files/ENCFF762AHF/,/files/ENCFF731TPB/		ENCBS516VRI,ENCBS124KDW	2,1	1	ENCAB728YTO	Homo sapiens	adult	53 years										/organisms/human/		/replicates/ad2ae40b-fffd-4c2d-917f-185eab4a66c0/,/replicates/adaa585a-1d12-4a1e-a798-3ca503772f73/				
/experiments/ENCSR748SQL/	ENCSR748SQL	ChIP-seq	TF ChIP-seq	cell line	/targets/PRDM15-human/	PRDM15	PRDM15	Homo sapiens GM12878 genetically modified (insertion) using CRISPR targeting H. sapiens PRDM15	GM12878	GEO:GSE169958	GM12878 immortalized cell line stably expressing C-terminal eGFP-PRDM15 fusion protein.	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF521LDT/,/files/ENCFF387EIE/,/files/ENCFF422RCF/,/files/ENCFF022DVC/,/files/ENCFF861DVB/,/files/ENCFF222OUW/,/files/ENCFF157HQD/,/files/ENCFF973EHG/,/files/ENCFF223QLA/,/files/ENCFF251LUW/,/files/ENCFF831DJF/,/files/ENCFF509NCV/,/files/ENCFF550QQY/,/files/ENCFF232UGP/,/files/ENCFF669ARL/,/files/ENCFF608XRO/,/files/ENCFF476IVO/,/files/ENCFF951QVH/,/files/ENCFF110ZIH/,/files/ENCFF445SXY/,/files/ENCFF083BVP/,/files/ENCFF814BPN/,/files/ENCFF683LUC/,/files/ENCFF741RPT/,/files/ENCFF720ZNX/,/files/ENCFF237VLG/		ENCBS054IQO,ENCBS415DVP	1,2	1	ENCAB728YTO	Homo sapiens	adult											/organisms/human/		/replicates/3d55c34c-ce55-4e0f-ad74-1b4e32f5bd29/,/replicates/bba74d4b-493e-46fb-ad03-0d85a39d85b0/				
/experiments/ENCSR125YGM/	ENCSR125YGM	ChIP-seq	TF ChIP-seq	cell line	/targets/ID3-human/	ID3	ID3	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ID3	K562	GEO:GSE174997	eGFP-ID3 ChIP-seq on human K562	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF594RIM/,/files/ENCFF691NPP/,/files/ENCFF947GML/,/files/ENCFF432UQX/,/files/ENCFF847QFE/,/files/ENCFF451RJV/,/files/ENCFF637QUF/,/files/ENCFF554NLJ/,/files/ENCFF529BJQ/,/files/ENCFF965WUK/,/files/ENCFF411OCG/,/files/ENCFF794SCQ/,/files/ENCFF302JYE/,/files/ENCFF506PKZ/,/files/ENCFF219IJM/,/files/ENCFF277CGB/,/files/ENCFF335MEX/,/files/ENCFF710VUY/,/files/ENCFF553XUK/,/files/ENCFF871MPW/,/files/ENCFF299SLF/,/files/ENCFF239QJT/,/files/ENCFF210TZS/,/files/ENCFF526HKD/,/files/ENCFF952SIQ/,/files/ENCFF194GEN/		ENCBS287STH,ENCBS494ERN	1,2	1	ENCAB728YTO	Homo sapiens	adult	53 years										/organisms/human/		/replicates/5277cd6b-a2e2-4164-8661-16016f44596a/,/replicates/f5dd8faa-2ef7-478b-8bea-8aa5396ac05d/				
/experiments/ENCSR350GZC/	ENCSR350GZC	ChIP-seq	TF ChIP-seq	cell line	/targets/ZNF561-human/	ZNF561	ZNF561	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF561	K562	GEO:GSE170497	eGFP-ZNF561 ChIP-seq on human K562	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF580DYN/,/files/ENCFF805YVL/,/files/ENCFF153BTN/,/files/ENCFF395WQX/,/files/ENCFF875PPH/,/files/ENCFF020OAJ/,/files/ENCFF422FHN/,/files/ENCFF697ZEP/,/files/ENCFF237RAU/,/files/ENCFF701MSP/,/files/ENCFF827UQT/,/files/ENCFF962LSN/,/files/ENCFF688WTQ/,/files/ENCFF230DRI/,/files/ENCFF880JFS/,/files/ENCFF022LPB/,/files/ENCFF701RWL/,/files/ENCFF214FOO/,/files/ENCFF592QTO/,/files/ENCFF628IKE/,/files/ENCFF561DDG/,/files/ENCFF137DGG/,/files/ENCFF498ZSE/,/files/ENCFF482LQC/,/files/ENCFF420RQB/,/files/ENCFF562KPB/		ENCBS308YWA,ENCBS870PZB	1,2	1	ENCAB728YTO	Homo sapiens	adult	53 years										/organisms/human/		/replicates/05491c80-bafb-4e3a-85b9-db7d6d257906/,/replicates/5619a0cf-09f5-4b58-a045-1a53925fc397/				
/experiments/ENCSR800JRG/	ENCSR800JRG	ChIP-seq	TF ChIP-seq	cell line	/targets/TEAD4-human/	TEAD4	TEAD4	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens TEAD4	HepG2	GEO:GSE170161	ChIP-Seq on HepG2	Richard Myers, HAIB	ENCODE	released	/files/ENCFF062BYU/,/files/ENCFF101AMD/,/files/ENCFF371SFB/,/files/ENCFF355HRT/,/files/ENCFF392AXI/,/files/ENCFF545OIY/,/files/ENCFF745EOZ/,/files/ENCFF871FXT/,/files/ENCFF532TJW/,/files/ENCFF979MHN/,/files/ENCFF942JPJ/,/files/ENCFF087XHM/,/files/ENCFF523USA/,/files/ENCFF048LUW/,/files/ENCFF736UCC/,/files/ENCFF222OKZ/,/files/ENCFF617XIS/,/files/ENCFF318YCG/,/files/ENCFF250NXO/,/files/ENCFF005QQU/,/files/ENCFF292JQE/,/files/ENCFF556RNZ/,/files/ENCFF330ZID/,/files/ENCFF712ILC/		ENCBS205JXV,ENCBS720HJK	1,2	1	ENCAB697XQW	Homo sapiens	child	15 years										/organisms/human/		/replicates/a449e22c-ee6e-4585-83c5-f0f8ee9376bc/,/replicates/b0611642-c028-49f6-b399-543d16e911a7/				
/experiments/ENCSR911MML/	ENCSR911MML	ChIP-seq	TF ChIP-seq	cell line	/targets/TCF3-human/	TCF3	TCF3	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens TCF3	HepG2	GEO:GSE170592	ChIP-Seq on HepG2	Richard Myers, HAIB	ENCODE	released	/files/ENCFF904RIB/,/files/ENCFF177YXT/,/files/ENCFF223ZKG/,/files/ENCFF428TCM/,/files/ENCFF904LAL/,/files/ENCFF317MJT/,/files/ENCFF038RTJ/,/files/ENCFF709VKH/,/files/ENCFF504HNE/,/files/ENCFF216PZU/,/files/ENCFF117UVW/,/files/ENCFF988VRI/,/files/ENCFF151YML/,/files/ENCFF400XTB/,/files/ENCFF813CJO/,/files/ENCFF850DUU/,/files/ENCFF417MVR/,/files/ENCFF902EKZ/,/files/ENCFF781HFQ/,/files/ENCFF720DLZ/,/files/ENCFF407QRG/,/files/ENCFF825QLF/,/files/ENCFF026RXB/,/files/ENCFF066OAK/		ENCBS908VFO,ENCBS076MBZ	1,2	1	ENCAB697XQW	Homo sapiens	child	15 years										/organisms/human/		/replicates/fcbc75f5-f5e3-4a4b-a882-f77c759ecce4/,/replicates/88427b91-c913-4d0f-9da7-77dab813a5f4/				
/experiments/ENCSR643JRH/	ENCSR643JRH	ChIP-seq	TF ChIP-seq	cell line	/targets/MAZ-human/	MAZ	MAZ	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens MAZ	K562	GEO:GSE175036	eGFP-MAZ ChIP-seq on human K562	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF634THB/,/files/ENCFF019NTV/,/files/ENCFF967IXD/,/files/ENCFF027IXU/,/files/ENCFF674XZS/,/files/ENCFF389FLV/,/files/ENCFF266ORM/,/files/ENCFF585SED/,/files/ENCFF099KJR/,/files/ENCFF647YEK/,/files/ENCFF737KLZ/,/files/ENCFF884SOI/,/files/ENCFF361XNU/,/files/ENCFF139XXX/,/files/ENCFF254WJH/,/files/ENCFF416XSD/,/files/ENCFF677ANA/,/files/ENCFF459WXZ/,/files/ENCFF909JEM/,/files/ENCFF534DDA/,/files/ENCFF982GSZ/,/files/ENCFF377RBD/,/files/ENCFF962GWS/,/files/ENCFF159DFJ/,/files/ENCFF853SUU/,/files/ENCFF609XQY/		ENCBS506QOL,ENCBS519OFN	2,1	1	ENCAB728YTO	Homo sapiens	adult	53 years										/organisms/human/		/replicates/9b6466de-1d4e-4b84-8a0d-9a4a99e832aa/,/replicates/30dfcc58-b8c1-4868-8d5b-136c84107b0e/				
/experiments/ENCSR972CVS/	ENCSR972CVS	ChIP-seq	TF ChIP-seq	cell line	/targets/ELK3-human/	ELK3	ELK3	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ELK3	K562	GEO:GSE170827	eGFP-ELK3 ChIP-seq on human K562	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF896QXS/,/files/ENCFF134JJG/,/files/ENCFF475ODN/,/files/ENCFF056UQA/,/files/ENCFF080SGV/,/files/ENCFF064LME/,/files/ENCFF489LNB/,/files/ENCFF745ZHC/,/files/ENCFF455UDZ/,/files/ENCFF198NGY/,/files/ENCFF391HCU/,/files/ENCFF820OZZ/,/files/ENCFF809PAL/,/files/ENCFF690LEX/,/files/ENCFF112TAK/,/files/ENCFF934YZP/,/files/ENCFF868OEW/,/files/ENCFF573XYH/,/files/ENCFF193MHV/,/files/ENCFF126QEK/,/files/ENCFF552FRK/,/files/ENCFF746SJL/,/files/ENCFF855WRB/,/files/ENCFF235VCG/,/files/ENCFF824API/,/files/ENCFF615QTU/		ENCBS641LWO,ENCBS419VTQ	1,2	1	ENCAB728YTO	Homo sapiens	adult	53 years										/organisms/human/		/replicates/55e5984e-289e-4724-9211-b453d0684b55/,/replicates/4b72c32d-0c35-49ae-b59f-e2c386507269/				
