project,genome,file_accession,type,output_type,replicates,pipe,Target,Biosample
ENCSR000AHD,GRCh38,ENCFF596MGE,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CTCF,MCF-7
ENCSR000AKB,GRCh38,ENCFF797SDL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CTCF,GM12878
ENCSR000AKO,GRCh38,ENCFF362OPG,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CTCF,K562
ENCSR000AMA,GRCh38,ENCFF205OKL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CTCF,HepG2
ENCSR000AOA,GRCh38,ENCFF111RWV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CTCF,HeLa-S3
ENCSR000ATM,GRCh38,ENCFF077SZR,bed narrowPeak,IDR thresholded peaks,"1, 2, 3",ENCODE4,REST,K562
ENCSR000AVA,GRCh38,ENCFF338IDU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CHD7,H1
ENCSR000BGE,GRCh38,ENCFF089YRX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SRF,GM12878
ENCSR000BGF,GRCh38,ENCFF975LZF,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,REST,GM12878
ENCSR000BGI,GRCh38,ENCFF879TPT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,USF1,GM12878
ENCSR000BGK,GRCh38,ENCFF305OER,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,JUND,HepG2
ENCSR000BGM,GRCh38,ENCFF712AVW,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,USF1,HepG2
ENCSR000BGP,GRCh38,ENCFF934JFA,bed narrowPeak,IDR thresholded peaks,"1, 2, 3",ENCODE4,POU2F2,GM12878
ENCSR000BGR,GRCh38,ENCFF402DQD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,PBX3,GM12878
ENCSR000BGT,GRCh38,ENCFF728KFD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,BATF,GM12878
ENCSR000BGU,GRCh38,ENCFF895MHN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,EBF1,GM12878
