project,genome,file_accession,type,output_type,replicates,pipe
ENCSR015LYB,GRCh38,ENCFF642BLI,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR015LYB,GRCh38,ENCFF037AXF,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR015LYB,GRCh38,ENCFF653ZSX,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR656SIB,GRCh38,ENCFF195YPT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR656SIB,GRCh38,ENCFF630JEV,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR656SIB,GRCh38,ENCFF796WUY,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR656SIB,GRCh38,ENCFF160DNR,bed narrowPeak,optimal IDR thresholded peaks,"1, 2",ENCODE3
ENCSR617POJ,GRCh38,ENCFF795AW,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR617POJ,GRCh38,ENCFF302TQZ,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR617POJ,GRCh38,ENCFF655DEQ,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR748SQL,GRCh38,ENCFF157HQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR748SQL,GRCh38,ENCFF741RPT,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR748SQL,GRCh38,ENCFF110ZIH,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR125YGM,GRCh38,ENCFF794SCQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR125YGM,GRCh38,ENCFF219IJM,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR125YGM,GRCh38,ENCFF194GEN,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR350GZC,GRCh38,ENCFF962LSN,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR350GZC,GRCh38,ENCFF688WTQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR350GZC,GRCh38,ENCFF137DGG,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR800JRG,GRCh38,ENCFF355HRT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR800JRG,GRCh38,ENCFF371SFB,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
